timestamp,ip,domain,source
2025-10-22T16:02:04.012492,13.69.116.105,browser.events.data.microsoft.com,system
2025-10-22T16:02:04.012492,104.208.16.88,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,52.182.143.213,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,52.182.141.63,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,52.182.143.209,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,20.189.173.28,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,20.42.65.84,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,52.182.143.214,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,20.189.173.23,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:04.012492,52.182.143.215,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,20.50.80.212,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,13.89.179.14,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,20.42.65.90,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,13.89.178.26,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,20.189.173.5,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,20.42.72.131,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:10.378117,13.89.178.27,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,20.189.173.8,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,52.168.117.171,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,52.178.17.233,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,51.11.192.48,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,52.168.112.67,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:16.756698,104.208.16.91,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:23.215774,13.69.239.77,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:23.215774,52.168.117.170,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:23.215774,20.189.173.14,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:23.215774,20.42.73.31,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:29.569738,52.182.143.208,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:29.569738,20.44.10.123,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:29.569738,13.89.179.9,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:29.569738,20.42.73.30,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,20.189.173.15,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,52.168.117.174,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,20.189.173.18,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,51.116.253.168,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,104.208.16.95,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:35.930689,20.42.73.28,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:42.289158,52.178.17.3,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:42.289158,20.189.173.11,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:42.289158,20.189.173.4,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:48.738584,104.208.16.90,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:48.738584,40.79.189.58,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:48.738584,104.46.162.224,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:48.738584,13.89.179.13,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:48.738584,20.42.65.88,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:55.113781,20.44.10.122,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:55.113781,20.189.173.16,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:55.113781,20.189.173.9,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:02:55.113781,20.50.73.12,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:03:01.473018,20.42.73.27,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:03:01.473018,40.74.98.193,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:03:01.473018,13.69.116.104,browser.events.data.microsoft.com,1.0.0.1
2025-10-22T16:03:01.473018,20.52.64.200,browser.events.data.microsoft.com,1.0.0.1
2025-10-23T10:58:48.943912,20.42.73.26,browser.events.data.microsoft.com,system
